Id;Label;Cat
210;210;project
460;460;project
567;567;project
573;573;project
728;728;project
770;770;project
823;823;project
891;891;project
902;902;project
924;924;project
922;922;project
973;973;project
994;994;project
995;995;project
1002;1002;project
1005;1005;project
1007;1007;project
1009;1009;project
1018;1018;project
1030;1030;project
694;694;project
1050;1050;project
1056;1056;project
1068;1068;project
1067;1067;project
1069;1069;project
1093;1093;project
1095;1095;project
1105;1105;project
1111;1111;project
1112;1112;project
1115;1115;project
1122;1122;project
1125;1125;project
1128;1128;project
1139;1139;project
1142;1142;project
1146;1146;project
1162;1162;project
1175;1175;project
1180;1180;project
1181;1181;project
1182;1182;project
1217;1217;project
1184;1184;project
1192;1192;project
1204;1204;project
1209;1209;project
1208;1208;project
1207;1207;project
1212;1212;project
1216;1216;project
1225;1225;project
1232;1232;project
1234;1234;project
1239;1239;project
1260;1260;project
1262;1262;project
1274;1274;project
1279;1279;project
1290;1290;project
1293;1293;project
1294;1294;project
1292;1292;project
816;816;project
1153;1153;project
1317;1317;project
1316;1316;project
1570;1570;project
1323;1323;project
1335;1335;project
1342;1342;project
1341;1341;project
1345;1345;project
981;981;project
1352;1352;project
1366;1366;project
1363;1363;project
1370;1370;project
1371;1371;project
1372;1372;project
1376;1376;project
1377;1377;project
1380;1380;project
1384;1384;project
1383;1383;project
1387;1387;project
1390;1390;project
1405;1405;project
1392;1392;project
1394;1394;project
1398;1398;project
1402;1402;project
1401;1401;project
1407;1407;project
1315;1315;project
1503;1503;project
1422;1422;project
1420;1420;project
1424;1424;project
1426;1426;project
1425;1425;project
1429;1429;project
1428;1428;project
1431;1431;project
1433;1433;project
1435;1435;project
1437;1437;project
1452;1452;project
1453;1453;project
1475;1475;project
1477;1477;project
1481;1481;project
1436;1436;project
1496;1496;project
1488;1488;project
1490;1490;project
1493;1493;project
1494;1494;project
1495;1495;project
1502;1502;project
1497;1497;project
1499;1499;project
1504;1504;project
1507;1507;project
1505;1505;project
1521;1521;project
1509;1509;project
1511;1511;project
1591;1591;project
1523;1523;project
1515;1515;project
1514;1514;project
1517;1517;project
1520;1520;project
1518;1518;project
1554;1554;project
1525;1525;project
1516;1516;project
1526;1526;project
1489;1489;project
1527;1527;project
1530;1530;project
1539;1539;project
1584;1584;project
1542;1542;project
1535;1535;project
1533;1533;project
1532;1532;project
1540;1540;project
1544;1544;project
1537;1537;project
1538;1538;project
1585;1585;project
1541;1541;project
1555;1555;project
1549;1549;project
1543;1543;project
1578;1578;project
1550;1550;project
1556;1556;project
1491;1491;project
1552;1552;project
1567;1567;project
1565;1565;project
1572;1572;project
1571;1571;project
1575;1575;project
1576;1576;project
1501;1501;project
1600;1600;project
1598;1598;project
1607;1607;project
1599;1599;project
1588;1588;project
1597;1597;project
1553;1553;project
1618;1618;project
1609;1609;project
1573;1573;project
1610;1610;project
1611;1611;project
1608;1608;project
1613;1613;project
1617;1617;project
1626;1626;project
1615;1615;project
1620;1620;project
1616;1616;project
1627;1627;project
1634;1634;project
1614;1614;project
1632;1632;project
1635;1635;project
1631;1631;project
1639;1639;project
1636;1636;project
1643;1643;project
1642;1642;project
1644;1644;project
1645;1645;project
1646;1646;project
1651;1651;project
1656;1656;project
1534;1534;project
1650;1650;project
1652;1652;project
1661;1661;project
1654;1654;project
1655;1655;project
1653;1653;project
1010;1010;project
1668;1668;project
1672;1672;project
1681;1681;project
1680;1680;project
1704;1704;project
1682;1682;project
1695;1695;project
1589;1589;project
1690;1690;project
1679;1679;project
1683;1683;project
1700;1700;project
1686;1686;project
1687;1687;project
1689;1689;project
1691;1691;project
1692;1692;project
1693;1693;project
1513;1513;project
1699;1699;project
1694;1694;project
1697;1697;project
1703;1703;project
1702;1702;project
1720;1720;project
1707;1707;project
1715;1715;project
1712;1712;project
1717;1717;project
1718;1718;project
1725;1725;project
1721;1721;project
1732;1732;project
1277;1277;project
1728;1728;project
1674;1674;project
1673;1673;project
1675;1675;project
1729;1729;project
1730;1730;project
1731;1731;project
1733;1733;project
1118;1118;project
1736;1736;project
1734;1734;project
1737;1737;project
1740;1740;project
1735;1735;project
1738;1738;project
1741;1741;project
1688;1688;project
1742;1742;project
1743;1743;project
1745;1745;project
1746;1746;project
1744;1744;project
1753;1753;project
1751;1751;project
1752;1752;project
1748;1748;project
1750;1750;project
1747;1747;project
1749;1749;project
1754;1754;project
1758;1758;project
1757;1757;project
1756;1756;project
1755;1755;project
QRDA;QRDA;Topic
DSTU;DSTU;Topic
CDA IG;CDA IG;Topic
CDA;CDA;Topic
Emergency Department;Emergency Department;Topic
DAM;DAM;Topic
Health Story;Health Story;Topic
IHE;IHE;Topic
Child Health;Child Health;Topic
Neonatology;Neonatology;Topic
NONE;NONE;Topic
Ballot;Ballot;Topic
Nutrition;Nutrition;Topic
Care Coordination;Care Coordination;Topic
Laboratory;Laboratory;Topic
HL7v2;HL7v2;Topic
HL7v2 IG;HL7v2 IG;Topic
Financial Management;Financial Management;Topic
Usability;Usability;Topic
Guide;Guide;Topic
CDS;CDS;Topic
vMR;vMR;Topic
Templates;Templates;Topic
Genomics;Genomics;Topic
Lab Order;Lab Order;Topic
Registry;Registry;Topic
Cancer;Cancer;Topic
Provenance;Provenance;Topic
Interoperability;Interoperability;Topic
EHR-S;EHR-S;Topic
Children;Children;Topic
CDA on FHIR;CDA on FHIR;Topic
C-CDA;C-CDA;Topic
C-CDA on FHIR;C-CDA on FHIR;Topic
Patient Care;Patient Care;Topic
Pharmacy;Pharmacy;Topic
Conformance;Conformance;Topic
Value Set;Value Set;Topic
mFHAST;mFHAST;Topic
Mobile Health;Mobile Health;Topic
Application;Application;Topic
Ontology;Ontology;Topic
Infection;Infection;Topic
Advance Care Plan;Advance Care Plan;Topic
Vital Records;Vital Records;Topic
Attachments;Attachments;Topic
Public Health;Public Health;Topic
Occupational;Occupational;Topic
FHIR IG;FHIR IG;Topic
CDS Hooks;CDS Hooks;Topic
Immunization;Immunization;Topic
FHIR Resources;FHIR Resources;Topic
negation;negation;Topic
Periodontal;Periodontal;Topic
Medical Devices;Medical Devices;Topic
Specimen;Specimen;Topic
Fetal Death;Fetal Death;Topic
Anesthesia;Anesthesia;Topic
Care Team;Care Team;Topic
Tooling;Tooling;Topic
Advance Directives;Advance Directives;Topic
LOINC;LOINC;Topic
SMART;SMART;Topic
3-Year Plan;3-Year Plan;Topic
Podiatry;Podiatry;Topic
Case Reporting;Case Reporting;Topic
Transfusion;Transfusion;Topic
Transplant;Transplant;Topic
Infectious Disease;Infectious Disease;Topic
Terminology;Terminology;Topic
Connectathon;Connectathon;Topic
Structured Data Capture;Structured Data Capture;Topic
FHIRcast;FHIRcast;Topic
Publishing;Publishing;Topic
Orthodontic;Orthodontic;Topic
Trial;Trial;Topic
Syndromic Surveillance;Syndromic Surveillance;Topic
HL7-HSRA;HL7-HSRA;Topic
Imaging;Imaging;Topic
BRIDG;BRIDG;Topic
Evidence-Based Medicine;Evidence-Based Medicine;Topic
Cross Paradigm;Cross Paradigm;Topic
Common Data Model;Common Data Model;Topic
Womens Health;Womens Health;Topic
CDISC;CDISC;Topic
eLTSS;eLTSS;Topic
Patient Reported Outcomes;Patient Reported Outcomes;Topic
expression languages;expression languages;Topic
CMHAFF;CMHAFF;Topic
Pathology;Pathology;Topic
DICOM;DICOM;Topic
v2-To-FHIR;v2-To-FHIR;Topic
Health Services;Health Services;Topic
DME;DME;Topic
Medical Equipment;Medical Equipment;Topic
Authorization;Authorization;Topic
Documentation;Documentation;Topic
HRex;HRex;Topic
CDex;CDex;Topic
ISO 13606;ISO 13606;Topic
Bulk Data;Bulk Data;Topic
Data Types;Data Types;Topic
Clinical Practice Guideline;Clinical Practice Guideline;Topic
Oncology;Oncology;Topic
Payer;Payer;Topic
IPS;IPS;Topic
Patient Summary;Patient Summary;Topic
Alerts;Alerts;Topic
Transport;Transport;Topic
Skin;Skin;Topic
Wound;Wound;Topic
Gender Harmony;Gender Harmony;Topic
Birth Defects;Birth Defects;Topic
sIRB;sIRB;Topic
Pharmaceutical Quality;Pharmaceutical Quality;Topic
CARIN;CARIN;Topic
Blue Button;Blue Button;Topic
Pain;Pain;Topic
Vital Signs;Vital Signs;Topic
Privacy;Privacy;Topic
Vanguard;Vanguard;Topic
SHIFT;SHIFT;Topic
SDOH;SDOH;Topic
Medicare;Medicare;Topic
Medicaid;Medicaid;Topic
PACIO;PACIO;Topic
Burden;Burden;Topic
Security;Security;Topic
Quality Reporting;Quality Reporting;Topic
White Paper;White Paper;Topic
Military Service;Military Service;Topic
Dental;Dental;Topic
Chronic;Chronic;Topic
Prescribing;Prescribing;Topic
MedMorph;MedMorph;Topic
Product Packaging;Product Packaging;Topic
SANER;SANER;Topic
Order Entry;Order Entry;Topic
Financial Services;Financial Services;Topic
Audiology;Audiology;Topic
US Core;US Core;Topic
CDASH;CDASH;Topic
Vaccination;Vaccination;Topic
FAIR;FAIR;Topic
Prior Authorization;Prior Authorization;Topic
SOA;SOA;Topic
Ophthalmology;Ophthalmology;Topic
Operational Support;Operational Support;Topic
FAST;FAST;Topic
Ordering;Ordering;Topic
Reaffirmation;Reaffirmation;Topic
HL7v3;HL7v3;Topic
Clinical Notes;Clinical Notes;Topic
Product Labeling;Product Labeling;Topic
National Healthcare Directory;National Healthcare Directory;Topic
Radiology;Radiology;Topic
GELLO;GELLO;Topic
Diet;Diet;Topic
Identity;Identity;Topic
Patient Administration;Patient Administration;Topic
withdraw;withdraw;Topic
SPLASCH;SPLASCH;Topic
Arden Syntax;Arden Syntax;Topic
Maternity;Maternity;Topic
Medicolegal;Medicolegal;Topic
Pediatric;Pediatric;Topic
Claims;Claims;Topic
Reimbursement;Reimbursement;Topic
XML Encoding;XML Encoding;Topic
Accounting & Billing;Accounting & Billing;Topic
Infrastructure IG;Infrastructure IG;Topic
Phenotyping;Phenotyping;Topic
Medical Record;Medical Record;Topic
